name	rpin	rpout	rpin-rpoutrealin	realout	realboseqin	realboseqout	realboseqother	posin	posout	posboseqother
alignments__0_0_1_1_set	0.00001	0.00001	-0.00000	18	22	1	4	1	79536	1846108	1954
alignments__0_0_2_2_set	0.00001	0.00003	-0.00002	22	60	1	8	1	79536	1846108	1954
alignments__0_0_3_3_set	0.00001	0.00008	-0.00007	22	156	1	12	1	79536	1846108	1954
alignments__0_1_0_1_set	0.00001	0.00001	-0.00000	18	22	1	4	1	79536	1846108	1954
alignments__0_1_1_2_set	0.00002	0.00001	0.00001	36	23	2	6	2	79536	1846108	1954
alignments__0_1_2_3_set	0.00002	0.00003	-0.00001	40	61	2	10	2	79536	1846108	1954
alignments__0_1_3_4_set	0.00002	0.00008	-0.00006	40	157	2	14	2	79536	1846108	1954
alignments__0_2_0_2_set	0.00001	0.00003	-0.00002	22	60	1	8	1	79536	1846108	1954
alignments__0_2_1_3_set	0.00002	0.00003	-0.00001	40	61	2	10	2	79536	1846108	1954
alignments__0_2_2_4_set	0.00002	0.00003	-0.00001	44	61	2	10	2	79536	1846108	1954
alignments__0_2_3_5_set	0.00002	0.00008	-0.00006	44	157	2	14	2	79536	1846108	1954
alignments__0_3_0_3_set	0.00001	0.00008	-0.00007	22	156	1	12	1	79536	1846108	1954
alignments__0_3_1_4_set	0.00002	0.00008	-0.00006	40	157	2	14	2	79536	1846108	1954
alignments__0_3_2_5_set	0.00002	0.00008	-0.00006	44	157	2	14	2	79536	1846108	1954
alignments__0_3_3_6_set	0.00002	0.00008	-0.00006	44	157	2	14	2	79536	1846108	1954
alignments__1_0_0_1_set	0.00038	0.00005	0.00033	724	93	36	46	34	79536	1846108	1954
alignments__1_0_1_2_set	0.00041	0.00019	0.00022	792	370	38	90	36	79536	1846108	1954
alignments__1_0_2_3_set	0.00043	0.00040	0.00003	824	773	39	111	37	79536	1846108	1954
alignments__1_0_3_4_set	0.00045	0.00078	-0.00033	862	1503	40	149	38	79536	1846108	1954
alignments__1_1_0_2_set	0.00041	0.00024	0.00017	794	465	38	98	36	79536	1846108	1954
alignments__1_1_1_3_set	0.00069	0.00055	0.00014	1330	1063	54	184	56	79536	1846108	1954
alignments__1_1_2_4_set	0.00076	0.00155	-0.00079	1464	2980	59	383	61	79536	1846108	1954
alignments__1_1_3_5_set	0.00083	0.00314	-0.00231	1598	6040	64	634	66	79536	1846108	1954
alignments__1_2_0_3_set	0.00044	0.00058	-0.00014	840	1108	39	137	37	79536	1846108	1954
alignments__1_2_1_4_set	0.00078	0.00167	-0.00089	1494	3216	58	383	60	79536	1846108	1954
alignments__1_2_2_5_set	0.00119	0.00334	-0.00214	2300	6426	74	713	85	79536	1846108	1954
alignments__1_2_3_6_set	0.00141	0.00747	-0.00607	2712	14392	83	1352	94	79536	1846108	1954
alignments__1_3_0_4_set	0.00046	0.00123	-0.00076	892	2365	40	201	38	79536	1846108	1954
alignments__1_3_1_5_set	0.00085	0.00331	-0.00246	1630	6370	62	663	64	79536	1846108	1954
alignments__1_3_2_6_set	0.00140	0.00749	-0.00609	2690	14419	83	1419	94	79536	1846108	1954
alignments__1_3_3_7_set	0.00208	0.01302	-0.01094	4008	25067	109	2133	127	79536	1846108	1954
alignments__2_0_0_2_set	0.00092	0.00026	0.00066	1772	498	76	123	64	79536	1846108	1954
